security_code,security_name,announcement_date,pattern_guess,announcement_title,source_url
600126,杭钢股份,2020-06-30,progress,关于投资设立全资子公司暨建设浙江云计算数据中心项目的进展公告,https://static.cninfo.com.cn/finalpage/2020-07-01/1207977117.PDF
601005,重庆钢铁,2025-06-16,progress,关于购买4100mm宽厚板生产线等资产的进展公告,https://static.cninfo.com.cn/finalpage/2025-06-17/1223889196.PDF
600295,鄂尔多斯,2022-04-14,replacement,内蒙古鄂尔多斯资源股份有限公司关于电力冶金化工板块循环经济产业园区投资建设产能置换项目的公告,https://static.cninfo.com.cn/finalpage/2022-04-15/1212920678.PDF
000629,钒钛股份,2018-05-21,suspension,关于公司股票暂停上市期间工作进展情况的公告,https://static.cninfo.com.cn/finalpage/2018-05-22/1204980064.PDF
000629,钒钛股份,2018-07-29,suspension,关于公司股票暂停上市期间工作进展情况的公告,https://static.cninfo.com.cn/finalpage/2018-07-30/1205237105.PDF
000629,钒钛股份,2026-03-30,suspension,攀钢集团钒钛资源股份有限公司信息披露暂缓与豁免管理制度,https://static.cninfo.com.cn/finalpage/2026-03-31/1225061927.PDF
000825,太钢不锈,2026-04-27,suspension,山西太钢不锈钢股份有限公司信息披露暂缓与豁免制度,https://static.cninfo.com.cn/finalpage/2026-04-28/1225221675.PDF
000923,河钢资源,2025-08-28,suspension,信息披露暂缓与豁免业务管理制度,https://static.cninfo.com.cn/finalpage/2025-08-29/1224612689.PDF
000923,河钢资源,2026-02-04,suspension,关于南非子公司暂停井下采矿的公告,https://static.cninfo.com.cn/finalpage/2026-02-05/1224966908.PDF
002075,沙钢股份,2025-10-29,suspension,《信息披露暂缓与豁免管理制度》（2025年10月制定）,https://static.cninfo.com.cn/finalpage/2025-10-30/1224765544.PDF
002318,久立特材,2018-05-24,suspension,关于“久立转2”暂停转股的公告,https://static.cninfo.com.cn/finalpage/2018-05-25/1205000610.PDF
002318,久立特材,2026-04-27,suspension,《信息披露暂缓与豁免管理制度》（2026年4月制定）,https://static.cninfo.com.cn/finalpage/2026-04-28/1225204301.PDF
002443,金洲管道,2025-12-31,suspension,信息披露暂缓、豁免管理制度,https://static.cninfo.com.cn/finalpage/2026-01-01/1224914823.PDF
002478,常宝股份,2025-08-21,suspension,信息披露暂缓与豁免管理制度（2025年8月）,https://static.cninfo.com.cn/finalpage/2025-08-22/1224533734.PDF
002541,鸿路钢构,2021-05-30,suspension,关于实施权益分派期间“鸿路转债”暂停转股的公告,https://static.cninfo.com.cn/finalpage/2021-05-31/1210121581.PDF
002541,鸿路钢构,2022-06-06,suspension,关于实施权益分派期间“鸿路转债”暂停转股的公告,https://static.cninfo.com.cn/finalpage/2022-06-07/1213619371.PDF
002541,鸿路钢构,2023-06-05,suspension,关于实施权益分派期间鸿路转债暂停转股的公告,https://static.cninfo.com.cn/finalpage/2023-06-06/1216993561.PDF
002541,鸿路钢构,2024-05-09,suspension,2024-043关于实施权益分派期间鸿路转债暂停转股的公告,https://static.cninfo.com.cn/finalpage/2024-05-10/1220021222.PDF
002541,鸿路钢构,2024-11-19,suspension,关于“鸿路转债”回售期间暂停转股的公告,https://static.cninfo.com.cn/finalpage/2024-11-20/1221778618.PDF
002541,鸿路钢构,2025-06-10,suspension,关于实施权益分派期间鸿路转债暂停转股的公告,https://static.cninfo.com.cn/finalpage/2025-06-11/1223835813.PDF
002541,鸿路钢构,2025-11-19,suspension,关于鸿路转债回售期间暂停转股的公告,https://static.cninfo.com.cn/finalpage/2025-11-20/1224816097.PDF
002541,鸿路钢构,2025-11-24,suspension,信息披露暂缓与豁免管理制度,https://static.cninfo.com.cn/finalpage/2025-11-25/1224822857.PDF
002541,鸿路钢构,2026-06-30,suspension,关于实施权益分派期间鸿路转债暂停转股的公告,https://static.cninfo.com.cn/finalpage/2026-07-01/1225398771.PDF
002756,永兴材料,2025-08-21,suspension,信息披露暂缓、豁免管理制度,https://static.cninfo.com.cn/finalpage/2025-08-22/1224534301.PDF
300034,钢研高纳,2020-09-02,suspension,信息披露暂缓与豁免业务管理制度,https://static.cninfo.com.cn/finalpage/2020-09-03/1208379062.PDF
300034,钢研高纳,2022-08-22,suspension,信息披露暂缓与豁免业务管理制度,https://static.cninfo.com.cn/finalpage/2022-08-23/1214358062.PDF
300034,钢研高纳,2025-12-22,suspension,北京钢研高纳科技股份有限公司信息披露暂缓与豁免业务管理制度,https://static.cninfo.com.cn/finalpage/2025-12-22/1224892177.PDF
300881,盛德鑫泰,2025-08-26,suspension,盛德鑫泰新材料股份有限公司信息披露暂缓与豁免业务管理制度,https://static.cninfo.com.cn/finalpage/2025-08-27/1224586282.PDF
600117,西宁特钢,2026-03-18,suspension,西宁特殊钢股份有限公司信息披露暂缓与豁免业务管理制度（2026年3月制定）,https://static.cninfo.com.cn/finalpage/2026-03-19/1225016895.PDF
600117,西宁特钢,2026-08-26,suspension,西宁特殊钢股份有限公司信息披露暂缓与豁免业务管理制度（2026年8月修订）,https://static.cninfo.com.cn/finalpage/2026-08-27/1225513465.PDF
600126,杭钢股份,2025-08-22,suspension,杭州钢铁股份有限公司信息披露暂缓与豁免业务内部管理制度,https://static.cninfo.com.cn/finalpage/2025-08-23/1224555412.PDF
600507,方大特钢,2025-04-30,suspension,方大特钢信息披露暂缓与豁免业务管理制度（2025年4月）,https://static.cninfo.com.cn/finalpage/2025-05-01/1223450902.PDF
601005,重庆钢铁,2018-01-28,suspension,关于公司股票可能被暂停上市的第一次风险提示公告,https://static.cninfo.com.cn/finalpage/2018-01-29/1204370679.PDF
